Product Name,Price,Offers
Samsung Galaxy S21 FE 5G (2023) (8GB 256GB Graphite) with Snapdragon 888,"34,898","['Additional INR 500 Instant Discount on HDFC Bank Credit Card 6 month Credit EMI Trxn. Min purchase value ₹30,000', 'Flat INR 250 Instant Discount on HDFC Bank Credit Card 6 Month and above EMI Trxn. Minimum purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 24 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 9 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 750 Instant Discount on HDFC Bank Credit Card 6 month and above Credit EMI Trxn. Min purchase value ₹15,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 24 month Credit EMI Trxn. Min purchase value ₹30,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 12 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 24 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 9 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 1500 Instant Discount on HDFC Bank Credit Card 6 month Credit EMI Trxn. Min purchase value ₹50,000', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 500 Instant Discount on HDFC Bank Debit Card 3 Month and above EMI Trxn. Minimum purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 12 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 750 Instant Discount on HDFC Bank Debit Card 3 month and above Debit EMI Trxn. Min purchase value ₹15,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Additional INR 500 Instant Discount on HDFC Bank Credit Card 24 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 9 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', 'Additional INR 500 Instant Discount on HDFC Bank Debit Card 3 month Debit EMI Trxn. Min purchase value ₹30,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 24 month Debit EMI Trxn. Min purchase value ₹30,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 12 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', 'Additional INR 1500 Instant Discount on HDFC Bank Debit Card 3 month Debit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 500 Instant Discount on HDFC Bank Debit Card 24 month Debit EMI Trxn. Min purchase value ₹50,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 9 month Debit EMI Trxn. Min purchase value ₹50,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 12 month Debit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashback', 'Get GST invoice and save up to 28% on business purchases. Sign up for free']"
Samsung Galaxy S21 FE 5G (2023) (8GB 256GB Olive) with Snapdragon 888,"34,998","['Additional INR 500 Instant Discount on HDFC Bank Credit Card 6 month Credit EMI Trxn. Min purchase value ₹30,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 24 month Credit EMI Trxn. Min purchase value ₹30,000', 'Flat INR 250 Instant Discount on HDFC Bank Credit Card 6 Month and above EMI Trxn. Minimum purchase value ₹7,500', 'Additional INR 750 Instant Discount on HDFC Bank Credit Card 6 month and above Credit EMI Trxn. Min purchase value ₹15,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 9 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 24 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 12 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 9 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 24 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 500 Instant Discount on HDFC Bank Debit Card 3 Month and above EMI Trxn. Minimum purchase value ₹7,500', 'Additional INR 1500 Instant Discount on HDFC Bank Credit Card 6 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 12 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Additional INR 500 Instant Discount on HDFC Bank Debit Card 3 month Debit EMI Trxn. Min purchase value ₹30,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Additional INR 750 Instant Discount on HDFC Bank Debit Card 3 month and above Debit EMI Trxn. Min purchase value ₹15,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 24 month Debit EMI Trxn. Min purchase value ₹30,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', 'Additional INR 500 Instant Discount on HDFC Bank Credit Card 24 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 9 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 12 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 1500 Instant Discount on HDFC Bank Debit Card 3 month Debit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 500 Instant Discount on HDFC Bank Debit Card 24 month Debit EMI Trxn. Min purchase value ₹50,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 9 month Debit EMI Trxn. Min purchase value ₹50,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 12 month Debit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashback', 'Get GST invoice and save up to 28% on business purchases. Sign up for free']"
"Samsung Galaxy S21 FE 5G (Graphite, 8GB, 128GB Storage)","32,999",[]
Product Name,Price,Offers
Samsung Galaxy S21 FE 5G (2023) (8GB 256GB Graphite) with Snapdragon 888,"34,898","['Additional INR 500 Instant Discount on HDFC Bank Credit Card 6 month Credit EMI Trxn. Min purchase value ₹30,000', 'Flat INR 250 Instant Discount on HDFC Bank Credit Card 6 Month and above EMI Trxn. Minimum purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 9 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 24 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 750 Instant Discount on HDFC Bank Credit Card 6 month and above Credit EMI Trxn. Min purchase value ₹15,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 24 month Credit EMI Trxn. Min purchase value ₹30,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 12 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 24 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 9 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 1500 Instant Discount on HDFC Bank Credit Card 6 month Credit EMI Trxn. Min purchase value ₹50,000', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 500 Instant Discount on HDFC Bank Debit Card 3 Month and above EMI Trxn. Minimum purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 12 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 750 Instant Discount on HDFC Bank Debit Card 3 month and above Debit EMI Trxn. Min purchase value ₹15,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Additional INR 500 Instant Discount on HDFC Bank Credit Card 24 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 9 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', 'Additional INR 500 Instant Discount on HDFC Bank Debit Card 3 month Debit EMI Trxn. Min purchase value ₹30,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 24 month Debit EMI Trxn. Min purchase value ₹30,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 12 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', 'Additional INR 1500 Instant Discount on HDFC Bank Debit Card 3 month Debit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 500 Instant Discount on HDFC Bank Debit Card 24 month Debit EMI Trxn. Min purchase value ₹50,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 9 month Debit EMI Trxn. Min purchase value ₹50,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 12 month Debit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashback', 'Get GST invoice and save up to 28% on business purchases. Sign up for free']"
Product Name,Price,Offers
Product Name,Price,Offers
Product Name,Price,Offers
Samsung Galaxy S21 FE 5G (2023) (8GB 256GB Graphite) with Snapdragon 888,"32,499","['Additional INR 500 Instant Discount on HDFC Bank Credit Card 6 month Credit EMI Trxn. Min purchase value ₹30,000', 'Flat INR 250 Instant Discount on HDFC Bank Credit Card 6 Month and above EMI Trxn. Minimum purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 24 month Credit EMI Trxn. Min purchase value ₹30,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 24 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 9 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 750 Instant Discount on HDFC Bank Credit Card 6 month and above Credit EMI Trxn. Min purchase value ₹15,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 12 month and above Credit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 1500 Instant Discount on HDFC Bank Credit Card 6 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 24 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 9 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 500 Instant Discount on HDFC Bank Debit Card 3 Month and above EMI Trxn. Minimum purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 12 month and above Debit EMI Trxn. Min purchase value ₹7,500', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Additional INR 500 Instant Discount on HDFC Bank Credit Card 24 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 9 month Credit EMI Trxn. Min purchase value ₹50,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Additional INR 500 Instant Discount on HDFC Bank Debit Card 3 month Debit EMI Trxn. Min purchase value ₹30,000', 'Additional INR 750 Instant Discount on HDFC Bank Debit Card 3 month and above Debit EMI Trxn. Min purchase value ₹15,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 24 month Debit EMI Trxn. Min purchase value ₹30,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', 'Additional INR 250 Instant Discount on HDFC Bank Credit Card 12 month Credit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', 'Additional INR 1500 Instant Discount on HDFC Bank Debit Card 3 month Debit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 500 Instant Discount on HDFC Bank Debit Card 24 month Debit EMI Trxn. Min purchase value ₹50,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 9 month Debit EMI Trxn. Min purchase value ₹50,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Additional INR 250 Instant Discount on HDFC Bank Debit Card 12 month Debit EMI Trxn. Min purchase value ₹50,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashback', 'Get GST invoice and save up to 28% on business purchases. Sign up for free']"
