Product Name,Price,Offers
"Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","8,999","['Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', '10% Cashback up to INR 2500 on Samsung Axis Signature Credit Card Trxns', '10% Instant Discount up to INR 750 on Bandhan Bank Debit Card Non EMI Trnxs. Minimum purchase value ₹2,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', '10% Cashback up to INR 5000 on Samsung Axis Infinite Credit Card Trxns', '10% Instant Discount up to INR 1500 on HSBC Credit Card Trnxs. Minimum purchase value ₹15,000', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Additional flat INR 500 Instant Discount on HSBC Credit Card EMI Trnxs. Minimum purchase value ₹30,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000']"
"Samsung Galaxy M14 5G (Berry Blue,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger","10,990","['Upto ₹495.15 EMI interest savings on select Credit Cards', 'No Cost EMI available on Amazon Pay Later. Check eligibility here.', 'Upto ₹554.63 EMI interest savings on select Debit Cards', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', '10% Cashback up to INR 2500 on Samsung Axis Signature Credit Card Trxns', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', '10% Instant Discount up to INR 750 on Bandhan Bank Debit Card Non EMI Trnxs. Minimum purchase value ₹2,000', '10% Cashback up to INR 5000 on Samsung Axis Infinite Credit Card Trxns', '10% Instant Discount up to INR 1500 on HSBC Credit Card Trnxs. Minimum purchase value ₹15,000', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', 'Additional flat INR 500 Instant Discount on HSBC Credit Card EMI Trnxs. Minimum purchase value ₹30,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000']"
"Samsung Galaxy M34 5G (Waterfall Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger","15,999","['Upto ₹720.85 EMI interest savings on select Credit Cards', 'No Cost EMI available on Amazon Pay Later. Check eligibility here.', 'Upto ₹807.45 EMI interest savings on select Debit Cards', '7.5% Instant Discount up to INR 750 on Axis Bank Credit Card EMI Trxn. Minimum purchase value ₹5,000', 'Additional flat INR 250 Instant Discount on Axis Bank Credit Card 12month and above EMI Trxn. Min purchase value ₹15,000', 'Flat INR 1500 Instant Discount on HDFC Bank Debit Card EMI Trxn. Minimum purchase value ₹15,000', 'Flat INR 750 Instant Discount on HDFC Bank Debit Card EMI Trxn. Minimum purchase value ₹7,500', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', '10% Instant Discount up to INR 1500 on HSBC Credit Card Trnxs. Minimum purchase value ₹15,000', '10% Cashback up to INR 2500 on Samsung Axis Signature Credit Card Trxns', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', '10% Cashback up to INR 5000 on Samsung Axis Infinite Credit Card Trxns', '10% Instant Discount up to INR 750 on Bandhan Bank Debit Card Non EMI Trnxs. Minimum purchase value ₹2,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Additional flat INR 500 Instant Discount on HSBC Credit Card EMI Trnxs. Minimum purchase value ₹30,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000']"
"Samsung Galaxy A54 5G (Awesome Graphite, 8GB, 256GB Storage) | 50 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger","35,499","['Flat INR 2000 Instant Discount on HDFC Bank Credit CardTxn. Minimum purchase value ₹5,000', '7.5% Instant Discount up to INR 750 on Axis Bank Credit Card EMI Trxn. Minimum purchase value ₹5,000', '10% Instant Discount up to INR 750 on Citibank Card Non-EMI Trxn. Minimum purchase value ₹5,000', 'Additional flat INR 250 Instant Discount on Axis Bank Credit Card 12month and above EMI Trxn. Min purchase value ₹15,000', 'Flat INR 750 Instant Discount on BOBCARD Non EMI Trxn. Minimum purchase value ₹10,000', 'Flat INR 1000 Instant Discount on BOBCARD EMI Trxn. Minimum purchase value ₹10,000', 'Additional flat INR 250 Instant Discount on BOBCARD 9month and above EMI Trxn. Min purchase value ₹15,000', '10% Cashback up to INR 2500 on Samsung Axis Signature Credit Card Trxns', '10% Instant Discount up to INR 1000 on Citibank Credit Card EMI Trxn. Minimum purchase value ₹5,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Additional INR 250 Discount on Citibank Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', '10% Cashback up to INR 5000 on Samsung Axis Infinite Credit Card Trxns', 'Additional flat INR 250 Instant Discount on BOBCARD 12month and above EMI Trxn. Min purchase value ₹20,000', '10% Instant Discount up to INR 1500 on HSBC Credit Card Trnxs. Minimum purchase value ₹15,000', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', '10% Instant Discount up to INR 750 on Bandhan Bank Debit Card Non EMI Trnxs. Minimum purchase value ₹2,000', 'Additional flat INR 500 Instant Discount on HSBC Credit Card EMI Trnxs. Minimum purchase value ₹30,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000']"
"Samsung Galaxy A05 (Silver, 4GB, 64GB Storage) | 50 MP Main Camera | Upto 8GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery","8,699","['7.5% Instant Discount up to INR 750 on Axis Bank Credit Card EMI Trxn. Minimum purchase value ₹5,000', '10% Instant Discount up to INR 750 on Citibank Card Non-EMI Trxn. Minimum purchase value ₹5,000', '10% Instant Discount up to INR 1000 on Citibank Credit Card EMI Trxn. Minimum purchase value ₹5,000', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', 'Additional flat INR 250 Instant Discount on Axis Bank Credit Card 12month and above EMI Trxn. Min purchase value ₹15,000', '10% Instant Discount up to INR 750 on Bandhan Bank Debit Card Non EMI Trnxs. Minimum purchase value ₹2,000', 'Flat INR 750 Instant Discount on BOBCARD Non EMI Trxn. Minimum purchase value ₹10,000', 'Flat INR 1000 Instant Discount on BOBCARD EMI Trxn. Minimum purchase value ₹10,000', 'Additional flat INR 250 Instant Discount on BOBCARD 9month and above EMI Trxn. Min purchase value ₹15,000', '10% Instant Discount up to INR 1500 on HSBC Credit Card Trnxs. Minimum purchase value ₹15,000', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 250 Discount on Citibank Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Additional flat INR 250 Instant Discount on BOBCARD 12month and above EMI Trxn. Min purchase value ₹20,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Additional flat INR 500 Instant Discount on HSBC Credit Card EMI Trnxs. Minimum purchase value ₹30,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000']"
"Samsung Galaxy A15 5G (Light Blue, 8GB, 128GB Storage) | 50 MP Main Camera | Android 14 with One UI 6.0 | 16GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery","19,499","['Flat INR 1500 Instant Discount on HDFC Bank Credit CardTxn. Minimum purchase value ₹5,000', '7.5% Instant Discount up to INR 750 on Axis Bank Credit Card EMI Trxn. Minimum purchase value ₹5,000', 'Additional flat INR 250 Instant Discount on Axis Bank Credit Card 12month and above EMI Trxn. Min purchase value ₹15,000', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', '10% Instant Discount up to INR 1500 on HSBC Credit Card Trnxs. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', '10% Instant Discount up to INR 750 on Bandhan Bank Debit Card Non EMI Trnxs. Minimum purchase value ₹2,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Additional flat INR 500 Instant Discount on HSBC Credit Card EMI Trnxs. Minimum purchase value ₹30,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000']"
"Samsung Galaxy M34 5G (Prism Silver,8GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","17,999","['Upto ₹810.98 EMI interest savings on select Credit Cards', 'No Cost EMI available on Amazon Pay Later. Check eligibility here.', 'Upto ₹908.41 EMI interest savings on select Debit Cards', '7.5% Instant Discount up to INR 750 on Axis Bank Credit Card EMI Trxn. Minimum purchase value ₹5,000', 'Additional flat INR 250 Instant Discount on Axis Bank Credit Card 12month and above EMI Trxn. Min purchase value ₹15,000', 'Flat INR 750 Instant Discount on HDFC Bank Debit Card EMI Trxn. Minimum purchase value ₹7,500', 'Flat INR 1500 Instant Discount on HDFC Bank Debit Card EMI Trxn. Minimum purchase value ₹15,000', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', '10% Cashback up to INR 2500 on Samsung Axis Signature Credit Card Trxns', '10% Instant Discount up to INR 1500 on HSBC Credit Card Trnxs. Minimum purchase value ₹15,000', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', '10% Cashback up to INR 5000 on Samsung Axis Infinite Credit Card Trxns', '10% Instant Discount up to INR 750 on Bandhan Bank Debit Card Non EMI Trnxs. Minimum purchase value ₹2,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Additional flat INR 500 Instant Discount on HSBC Credit Card EMI Trnxs. Minimum purchase value ₹30,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000']"
"Samsung Galaxy A15 5G (Blue, 8GB, 128GB Storage) | 50 MP Main Camera | Android 14 with One UI 6.0 | 16GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery","19,499","['Flat INR 1500 Instant Discount on HDFC Bank Credit CardTxn. Minimum purchase value ₹5,000', '7.5% Instant Discount up to INR 750 on Axis Bank Credit Card EMI Trxn. Minimum purchase value ₹5,000', 'Additional flat INR 250 Instant Discount on Axis Bank Credit Card 12month and above EMI Trxn. Min purchase value ₹15,000', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', '10% Instant Discount up to INR 1500 on HSBC Credit Card Trnxs. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', '10% Instant Discount up to INR 750 on Bandhan Bank Debit Card Non EMI Trnxs. Minimum purchase value ₹2,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Additional flat INR 500 Instant Discount on HSBC Credit Card EMI Trnxs. Minimum purchase value ₹30,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000']"
"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","7,319","['10% Instant Discount up to INR 750 on Bandhan Bank Debit Card Non EMI Trnxs. Minimum purchase value ₹2,000', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', '10% Instant Discount up to INR 1500 on HSBC Credit Card Trnxs. Minimum purchase value ₹15,000', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Additional flat INR 500 Instant Discount on HSBC Credit Card EMI Trnxs. Minimum purchase value ₹30,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000']"
"Samsung Galaxy A34 5G (Awesome Violet, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Travel Adapter to be Purchased Separately","26,499","['Upto ₹1,683.60 EMI interest savings on select Credit Cards', 'Upto ₹1,683.60 EMI interest savings on HDFC Bank Debit Cards', 'No Cost EMI available on Amazon Pay Later. Check eligibility here.', '7.5% Instant Discount up to INR 750 on Axis Bank Credit Card EMI Trxn. Minimum purchase value ₹5,000', '10% Instant Discount up to INR 750 on Citibank Card Non-EMI Trxn. Minimum purchase value ₹5,000', 'Additional flat INR 250 Instant Discount on Axis Bank Credit Card 12month and above EMI Trxn. Min purchase value ₹15,000', 'Flat INR 750 Instant Discount on BOBCARD Non EMI Trxn. Minimum purchase value ₹10,000', 'Flat INR 1000 Instant Discount on BOBCARD EMI Trxn. Minimum purchase value ₹10,000', 'Additional flat INR 250 Instant Discount on BOBCARD 9month and above EMI Trxn. Min purchase value ₹15,000', 'Additional INR 250 Discount on Citibank Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', '10% Instant Discount up to INR 1000 on Citibank Credit Card EMI Trxn. Minimum purchase value ₹5,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹7,500', 'Flat INR 350 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹7,500', 'Flat INR 250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹7,500', '10% Cashback up to INR 2500 on Samsung Axis Signature Credit Card Trxns', 'Additional flat INR 250 Instant Discount on BOBCARD 12month and above EMI Trxn. Min purchase value ₹20,000', 'Flat INR 1200 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹15,000', 'Flat INR 750 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹15,000', 'Additional INR 150 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹15,000', '10% Cashback up to INR 5000 on Samsung Axis Infinite Credit Card Trxns', '10% Instant Discount up to INR 1500 on HSBC Credit Card Trnxs. Minimum purchase value ₹15,000', '10% Instant Discount up to INR 750 on Bandhan Bank Debit Card Non EMI Trnxs. Minimum purchase value ₹2,000', 'Flat INR 1750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹30,000', 'Flat INR 1250 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹30,000', 'Additional flat INR 500 Instant Discount on HSBC Credit Card EMI Trnxs. Minimum purchase value ₹30,000', 'Additional INR 200 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹50,000', 'Flat INR 2250 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 1500 Instant Discount on OneCard Credit Card Non-EMI Txn. Minimum purchase value ₹50,000', 'Flat INR 2500 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹75,000', 'Flat INR 3000 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,25,000', 'Flat INR 2750 Instant Discount on OneCard Credit Card EMI Txn. Minimum purchase value ₹1,00,000', 'Additional INR 250 Instant Discount on OneCard Credit Card 9 month and above EMI Trxn. Min purchase value ₹1,25,000']"
